rep_id,date,client_name,visit_duration,value_usd,status,city,is_absent,notes
101,10-03-2023,Wayne Ent.,54,2644.71,missed,Gdansk,No,Possible upsell
101,2023/02/10,Stark Ltd,62,1160.31,missed,Wroclaw,yes,Very interested client
103,25-04-2023,Acme Corp,31,1077.75,pending,Poznan,YES,Meeting went well
104,10.01.2023,Stark Ltd,86,564.73,missed,Warsaw,yes,No decision yet
106,,missing,missing,2270.63,Completed,wroclaw,YES,missing
103,13.02.2023,Stark Ltd,90,2744.62,missed,Warsaw,yes,Follow-up scheduled
105,23.01.2023,Acme Corp,65,1692.58,canceled,Krakow,no,Unresponsive
104,2023/02/15,missing,76,2453.63,pending,gdansk,yes,Meeting went well
103,25.06.2023,Wayne Ent.,73,1038.97,completed,wroclaw,YES,Very interested client
105,07-04-2023,missing,71,357.26,completed,Gdansk,No,No decision yet
103,2023/01/07,Wayne Ent.,28,1618.64,completed,Gdansk,YES,Unresponsive
103,07.02.2023,Wayne Ent.,67,1976.83,Completed,Poznan,YES,No decision yet
101,,Acme Corp,64,643.36,canceled,Wroclaw,yes,Postponed due to weather
105,2023/03/25,Stark Ltd,84,,canceled,wroclaw,No,Unresponsive
102,22.02.2023,Umbrella Corp,70,2864.18,missed,gdansk,yes,Follow-up scheduled
103,2023/05/25,Globex Inc,60,522.07,Completed,Krakow,YES,No decision yet
101,,Stark Ltd,70,,completed,Poznan,YES,Possible upsell
106,30-05-2023,Acme Corp,66,1596.05,canceled,Warsaw,no,Did not attend
103,2023/02/19,Wayne Ent.,27,1625.74,missed,Wroclaw,No,No contact made
103,01.02.2023,missing,61,2877.29,canceled,wroclaw,YES,-
106,2023/03/25,-,54,406.09,missed,Poznan,No,Possible upsell
101,16-02-2023,Acme Corp,74,2414.28,pending,Gdansk,no,Possible upsell
103,26-02-2023,-,missing,,completed,Warsaw,YES,Follow-up scheduled
106,17.01.2023,Umbrella Corp,41,1586.78,pending,krakow,no,Very interested client
103,2023/05/15,missing,44,1899.65,canceled,Gdansk,yes,No contact made
104,06.06.2023,Initech,86,435.04,completed,warsaw,YES,missing
104,13.05.2023,Soylent,83,1227.81,completed,gdansk,no,No contact made
104,07-01-2023,Wayne Ent.,missing,865.89,pending,poznan,no,Meeting went well
101,14.03.2023,Initech,85,670.86,Completed,Wroclaw,no,Unresponsive
106,,missing,44,969.55,canceled,krakow,YES,No contact made
102,,Stark Ltd,missing,838.33,canceled,gdansk,YES,Very interested client
